date,cash,stock,margin,total
2010-06-01,1837869.0720489977,8158051.902,0.0,9995920.974048998
2010-07-02,820801.761965499,8129428.307000005,0.0,8950230.068965504
2010-07-30,2922601.7402095012,7481071.192000003,0.0,10403672.932209503
2010-08-27,2716767.4012270034,8168975.8149999995,0.0,10885743.216227002
2010-09-29,2090509.642127506,8845402.419000005,0.0,10935912.061127512
2010-11-03,2661320.7993010078,8914953.686000008,0.0,11576274.485301016
2010-12-01,2358056.5241380082,9126659.542000005,0.0,11484716.066138014
2010-12-29,1907766.7607740085,9094007.92300001,0.0,11001774.683774019
2011-01-27,1818356.44705451,8889883.43700001,0.0,10708239.88405452
2011-03-02,2654885.2610260095,8907503.41900001,0.0,11562388.680026019
2011-03-29,2128502.6315635103,9591999.417000009,0.0,11720502.04856352
2011-04-27,2208757.875515513,9416551.24600001,0.0,11625309.121515524
2011-05-26,1054738.617731515,9814541.48300001,0.0,10869280.100731526
2011-06-24,2339011.531654017,8789760.980000002,0.0,11128772.51165402
2011-07-22,2307660.3088060203,9126013.236000013,0.0,11433673.544806033
2011-08-22,1254108.4072660233,10095171.424000012,0.0,11349279.831266034
2011-09-20,1124250.4107670244,9384075.70100001,0.0,10508326.111767035
2011-10-24,1016982.1414705261,9163296.142000008,0.0,10180278.283470534
2011-11-21,1625650.2849265276,8442275.65600001,0.0,10067925.940926539
2011-12-19,477338.76146652654,8336936.608000014,0.0,8814275.369466541
2012-01-18,1089481.1759605268,7416149.112000014,0.0,8505630.28796054
2012-02-22,2193677.695270025,7202479.284000019,0.0,9396156.979270045
2012-03-22,1594595.652782527,7665982.324000015,0.0,9260577.976782542
2012-04-24,1115493.9402595286,7945957.448000014,0.0,9061451.388259543
2012-05-24,938464.3580305289,8021007.547000018,0.0,8959471.905030547
2012-06-21,834743.8134055295,7474217.751000013,0.0,8308961.564405543
2012-07-20,1101220.0628350298,6735477.294000007,0.0,7836697.3568350375
2012-08-22,1499442.7209385294,6399821.388000011,0.0,7899264.108938541
2012-09-19,1310895.5034820281,6550697.153000018,0.0,7861592.656482046
2012-10-24,1620477.2017780286,6304500.526000012,0.0,7924977.72777804
2012-11-21,1174585.8960685292,6407090.173000015,0.0,7581676.069068545
2012-12-19,1544046.0950995293,6126980.8600000115,0.0,7671026.955099541
2013-01-21,2639438.5672030305,6176577.197000011,0.0,8816015.764203042
2013-02-25,1685226.3317590305,7160174.021000009,0.0,8845400.352759039
2013-03-25,1699287.9804370282,7230428.205000015,0.0,8929716.185437042
2013-04-24,1280779.2095620288,7263150.895000016,0.0,8543930.104562044
2013-05-27,2191317.04614553,6897687.797000005,0.0,9089004.843145534
2013-06-27,221368.68185802962,7254167.921000006,0.0,7475536.602858035
2013-07-25,1699420.5565720303,6548811.071000015,0.0,8248231.627572046
2013-08-22,1853570.7964210345,7074854.787000008,0.0,8928425.583421042
2013-09-23,1783244.1450265343,7696637.429000011,0.0,9479881.574026546
2013-10-28,1614151.9287670327,7836854.025000014,0.0,9451005.953767046
2013-11-25,1439793.4246240328,8161037.885000016,0.0,9600831.309624048
2013-12-23,1477194.6160765325,7923434.51900002,0.0,9400629.135076553
2014-01-21,1351083.809204536,8100308.216000016,0.0,9451392.025204552
2014-02-25,2412165.078875535,7474366.240000014,0.0,9886531.31887555
2014-03-25,1813064.5438780359,8246467.229000011,0.0,10059531.772878047
2014-04-23,1527029.3029375349,8473113.649000013,0.0,10000142.951937549
2014-05-23,1011084.2422840344,8765882.125000019,0.0,9776966.367284052
2014-06-23,1325164.7529940319,8250296.786000008,0.0,9575461.53899404
2014-07-21,1597364.965090033,8288761.987000011,0.0,9886126.952090044
2014-08-18,1574432.9889235324,9115731.852000011,0.0,10690164.840923544
2014-09-16,1912628.6823595325,9312593.290000016,0.0,11225221.97235955
2014-10-21,1974250.3136230335,10035563.538000029,0.0,12009813.851623062
2014-11-17,2006458.5852130328,10458308.861000022,0.0,12464767.446213055
2014-12-15,3176150.229359536,10473598.135000024,0.0,13649748.36435956
2015-01-14,1509923.5973995356,11891835.956000026,0.0,13401759.553399563
2015-02-11,3174178.298738535,11277725.708000027,0.0,14451904.006738562
2015-03-18,4182454.109024536,12216467.55000003,0.0,16398921.659024566
2015-04-16,4223574.263944037,13905024.133000014,0.0,18128598.396944053
2015-05-15,1964681.014319541,16804063.276000023,0.0,18768744.290319562
2015-06-11,6962356.11572204,17065166.925000016,0.0,24027523.040722057
