date,index,quantity,amount,current_price
2010-06-01,000039.SZ,13200,162522.36,12.312299999999999
2010-06-01,000055.SZ,15300,162954.792,10.65064
2010-06-01,000421.SZ,29500,163593.42999999996,5.545539999999999
2010-06-01,000529.SZ,25200,160432.272,6.366359999999999
2010-06-01,000536.SZ,8700,166945.779,19.18917
2010-06-01,000592.SZ,29400,163333.16999999998,5.555549999999999
2010-06-01,000595.SZ,20300,161343.18199999997,7.947939999999999
2010-06-01,000626.SZ,18700,160419.259,8.57857
2010-06-01,000652.SZ,20100,161765.60399999996,8.048039999999999
2010-06-01,000726.SZ,19300,162282.12,8.4084
2010-06-01,000836.SZ,24000,167687.52,6.98698
2010-06-01,000930.SZ,20800,161569.408,7.767759999999999
2010-06-01,000959.SZ,42900,159747.588,3.7237199999999997
2010-06-01,000971.SZ,31600,162902.74,5.15515
2010-06-01,000988.SZ,9300,165240.07499999998,17.76775
2010-06-01,002028.SZ,5400,164161.998,30.40037
2010-06-01,002064.SZ,18000,160540.37999999998,8.918909999999999
2010-06-01,002128.SZ,8500,163363.19999999998,19.219199999999997
2010-06-01,002180.SZ,9400,167957.79,17.86785
2010-06-01,002183.SZ,16500,167642.475,10.16015
2010-06-01,002255.SZ,3300,154264.11,46.7467
2010-06-01,002265.SZ,19600,168728.56,8.6086
2010-06-01,002334.SZ,1800,169729.55999999997,94.29419999999999
2010-06-01,002335.SZ,3800,165655.48999999996,43.59354999999999
2010-06-01,002366.SZ,9200,165305.13999999998,17.96795
2010-06-01,300007.SZ,7700,163942.77899999998,21.291269999999997
2010-06-01,600026.SH,17600,162258.09600000002,9.21921
2010-06-01,600064.SH,13900,162931.769,11.72171
2010-06-01,600072.SH,12800,161441.27999999997,12.612599999999999
2010-06-01,600100.SH,6500,164093.92999999996,25.245219999999996
2010-06-01,600157.SH,7200,162882.72,22.6226
2010-06-01,600169.SH,13700,163330.167,11.921909999999999
2010-06-01,600172.SH,19300,164407.243,8.51851
2010-06-01,600272.SH,21100,166645.47899999996,7.8978899999999985
2010-06-01,600290.SH,12500,161286.125,12.90289
2010-06-01,600301.SH,28600,162610.44799999997,5.685679999999999
2010-06-01,600320.SH,23700,160134.97499999998,6.756749999999999
2010-06-01,600365.SH,12400,159251.092,12.84283
2010-06-01,600366.SH,9700,157297.13999999998,16.216199999999997
2010-06-01,600512.SH,18800,165793.628,8.81881
2010-06-01,600654.SH,32800,176312.13599999997,5.375369999999999
2010-06-01,600691.SH,21200,162129.968,7.647639999999999
2010-06-01,600701.SH,33000,161201.03999999998,4.884879999999999
2010-06-01,600760.SH,21800,163663.5,7.507499999999999
2010-06-01,600820.SH,17900,162515.353,9.07907
2010-06-01,600875.SH,3400,162478.316,47.78774
2010-06-01,600882.SH,26400,161201.03999999998,6.106099999999999
2010-06-01,600980.SH,10100,157616.45899999997,15.605589999999998
2010-06-01,601111.SH,15100,160673.513,10.64063
2010-06-01,601919.SH,16400,161865.704,9.86986
2010-07-02,000032.SZ,21100,157985.82799999998,7.48748
2010-07-02,000301.SZ,34600,155855.69999999998,4.504499999999999
2010-07-02,000338.SZ,2700,160134.97499999998,59.30924999999999
2010-07-02,000585.SZ,40000,156556.4,3.9139099999999996
2010-07-02,000591.SZ,18200,157587.43,8.65865
2010-07-02,000600.SZ,36100,162251.089,4.49449
2010-07-02,000708.SZ,15900,159158.99999999997,10.009999999999998
2010-07-02,000716.SZ,18500,151851.69999999995,8.208199999999998
2010-07-02,000811.SZ,11300,160507.34699999998,14.204189999999999
2010-07-02,000823.SZ,16000,154394.24,9.64964
2010-07-02,002002.SZ,25300,157776.619,6.23623
2010-07-02,002055.SZ,13600,165132.968,12.14213
2010-07-02,002056.SZ,10900,157989.832,14.49448
2010-07-02,002077.SZ,24100,156806.64999999997,6.506499999999999
2010-07-02,002084.SZ,26900,161561.4,6.005999999999999
2010-07-02,002090.SZ,14500,158643.485,10.940929999999998
2010-07-02,002106.SZ,6600,160672.512,24.344319999999996
2010-07-02,002216.SZ,5900,157982.82499999998,26.776749999999996
2010-07-02,002234.SZ,13900,166271.10499999998,11.961949999999998
2010-07-02,002307.SZ,6800,155603.44799999997,22.882859999999997
2010-07-02,002345.SZ,4900,161371.21,32.9329
2010-07-02,002350.SZ,7100,161828.667,22.792769999999997
2010-07-02,002358.SZ,4000,160159.99999999997,40.03999999999999
2010-07-02,002401.SZ,4700,158219.061,33.66363
2010-07-02,002411.SZ,4500,166171.00499999998,36.92688999999999
2010-07-02,002430.SZ,6800,156692.536,23.04302
2010-07-02,300004.SZ,3600,158594.43599999996,44.05400999999999
2010-07-02,300006.SZ,7000,158498.33999999997,22.642619999999997
2010-07-02,300023.SZ,10500,161546.38499999998,15.385369999999998
2010-07-02,300035.SZ,8400,158918.75999999998,18.918899999999997
2010-07-02,300051.SZ,4200,156312.156,37.21718
2010-07-02,300058.SZ,5900,159695.53599999996,27.067039999999995
2010-07-02,600056.SH,13200,157369.21199999997,11.921909999999999
2010-07-02,600091.SH,38800,161957.79599999997,4.174169999999999
2010-07-02,600186.SH,35600,157509.35199999998,4.42442
2010-07-02,600241.SH,19200,158558.39999999997,8.258249999999999
2010-07-02,600275.SH,32600,156636.47999999998,4.804799999999999
2010-07-02,600278.SH,18800,159771.61199999996,8.498489999999999
2010-07-02,600301.SH,28700,158869.71099999998,5.53553
2010-07-02,600307.SH,21100,157985.82799999998,7.48748
2010-07-02,600389.SH,19200,157981.824,8.22822
2010-07-02,600512.SH,18800,165793.628,8.81881
2010-07-02,600538.SH,35600,161429.268,4.53453
2010-07-02,600540.SH,15200,153977.82399999996,10.130119999999998
2010-07-02,600726.SH,46600,159064.906,3.41341
2010-07-02,600747.SH,28300,162887.72499999998,5.755749999999999
2010-07-02,600789.SH,23100,165098.93399999998,7.1471399999999985
2010-07-02,600791.SH,33600,160432.27199999997,4.774769999999999
2010-07-02,600854.SH,26600,159493.334,5.99599
2010-07-02,601139.SH,16000,159679.52,9.97997
2010-07-02,601888.SH,8400,162198.03599999996,19.309289999999997
2010-07-30,000153.SZ,18600,145225.07999999996,7.8077999999999985
2010-07-30,000560.SZ,15700,151499.348,9.64964
2010-07-30,000600.SZ,36100,162251.089,4.49449
2010-07-30,000655.SZ,9200,154069.916,16.74673
2010-07-30,000702.SZ,24900,146558.41199999998,5.885879999999999
2010-07-30,000708.SZ,11600,145202.652,12.51747
2010-07-30,000797.SZ,19800,145279.134,7.33733
2010-07-30,000837.SZ,13700,158118.96099999998,11.541529999999998
2010-07-30,002073.SZ,8400,147062.91599999997,17.507489999999997
2010-07-30,002092.SZ,7400,146518.37199999997,19.79978
2010-07-30,002252.SZ,3200,146546.4,45.79575
2010-07-30,002263.SZ,18300,146912.76599999997,8.028019999999998
2010-07-30,002287.SZ,7200,145369.224,20.19017
2010-07-30,002304.SZ,800,142158.016,177.69752
2010-07-30,002317.SZ,3700,149073.925,40.29024999999999
2010-07-30,002383.SZ,2900,147293.146,50.79074
2010-07-30,002398.SZ,5700,144183.03899999996,25.295269999999995
2010-07-30,002399.SZ,1100,148009.86199999996,134.55441999999996
2010-07-30,002415.SZ,2000,148748.59999999998,74.37429999999999
2010-07-30,002436.SZ,4400,146446.3,33.283249999999995
2010-07-30,002445.SZ,7400,146740.59399999995,19.829809999999995
2010-07-30,300034.SZ,5700,143954.811,25.255229999999997
2010-07-30,300064.SZ,6500,146981.835,22.612589999999997
2010-07-30,300080.SZ,3400,142874.73199999996,42.02197999999999
2010-07-30,600061.SH,13400,144059.91599999997,10.750739999999999
2010-07-30,600090.SH,17500,147322.175,8.41841
2010-07-30,600114.SH,14900,148850.702,9.98998
2010-07-30,600121.SH,14700,144204.06,9.8098
2010-07-30,600130.SH,33000,146336.18999999997,4.434429999999999
2010-07-30,600153.SH,19800,145675.52999999997,7.3573499999999985
2010-07-30,600185.SH,14000,143503.36,10.25024
2010-07-30,600203.SH,21300,145198.05299999996,6.8168099999999985
2010-07-30,600209.SH,20500,149594.44499999998,7.297289999999999
2010-07-30,600251.SH,8000,148868.72,18.60859
2010-07-30,600284.SH,11000,143253.11,13.023009999999998
2010-07-30,600306.SH,11900,144610.466,12.15214
2010-07-30,600348.SH,9700,146519.373,15.105089999999999
2010-07-30,600380.SH,16800,146978.832,8.74874
2010-07-30,600429.SH,23400,145459.31399999998,6.216209999999999
2010-07-30,600560.SH,8300,145062.918,17.47746
2010-07-30,600580.SH,8700,144041.898,16.55654
2010-07-30,600684.SH,14300,146005.86,10.210199999999999
2010-07-30,600739.SH,5300,146426.28,27.627599999999997
2010-07-30,600750.SH,4400,143935.792,32.71268
2010-07-30,600759.SH,23000,143663.52,6.246239999999999
2010-07-30,600797.SH,21900,149507.35799999998,6.82682
2010-07-30,600824.SH,18600,145969.82399999996,7.847839999999999
2010-07-30,600835.SH,13300,145114.97,10.9109
2010-07-30,601088.SH,6000,144564.41999999998,24.09407
2010-07-30,601106.SH,26600,143783.64,5.4054
2010-07-30,601919.SH,14800,145481.336,9.82982
2010-08-27,000012.SZ,11800,178594.41599999997,15.135119999999997
2010-08-27,000100.SZ,43000,171311.13999999998,3.9839799999999994
2010-08-27,000415.SZ,15200,170714.54399999997,11.231219999999999
2010-08-27,000610.SZ,19600,170690.51999999996,8.708699999999999
2010-08-27,000633.SZ,21500,173893.72,8.08808
2010-08-27,000636.SZ,15100,178207.02899999998,11.801789999999999
2010-08-27,000758.SZ,10000,180880.69999999998,18.08807
2010-08-27,000859.SZ,21700,173773.59999999998,8.008
2010-08-27,000935.SZ,14700,172897.72499999998,11.76175
2010-08-27,000948.SZ,13400,186446.25999999998,13.913899999999998
2010-08-27,002005.SZ,8500,173147.97499999998,20.37035
2010-08-27,002009.SZ,12600,172792.61999999997,13.713699999999998
2010-08-27,002051.SZ,3700,179259.07999999996,48.44839999999999
2010-08-27,002077.SZ,18500,172407.235,9.31931
2010-08-27,002081.SZ,3700,171036.86599999998,46.22617999999999
2010-08-27,002083.SZ,15700,175387.21199999997,11.171159999999999
2010-08-27,002108.SZ,0,0.0,0.0
